### Fill Cross Sections for proton off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  180       6.383      0.6735      0.2981       0.9716
  181       6.531      0.6478      0.3134       0.9612
  182       6.683      0.6297       0.329       0.9587
  183       6.839      0.6116      0.3449       0.9565
  184       6.998      0.5935      0.3611       0.9547
  185       7.161      0.5754      0.3776        0.953
  186       7.328      0.5573      0.3943       0.9516
  187       7.499      0.5392      0.4111       0.9504
  188       7.674      0.5211      0.4281       0.9492
  189       7.852       0.503      0.4451       0.9481
  190       8.035      0.4849      0.4622       0.9471
  191       8.222      0.4668      0.4792        0.946
  192       8.414      0.4544      0.4961       0.9505
  193        8.61       0.446      0.5129       0.9589
  194        8.81      0.4377      0.5294       0.9671
  195       9.016      0.4293      0.5458       0.9751
  196       9.226      0.4209      0.5619       0.9828
  197       9.441      0.4126      0.5776       0.9901
  198       9.661      0.4042       0.593       0.9971
  199       9.886      0.3958      0.6079        1.004
  200       10.12      0.3874      0.6224         1.01
  201       10.35      0.3791      0.6365        1.016
  202       10.59      0.3707        0.65        1.021
  203       10.84      0.3672       0.663         1.03
  204       11.09      0.3658      0.6755        1.041
  205       11.35      0.3644      0.6874        1.052
  206       11.61       0.363      0.6988        1.062
  207       11.89      0.3616      0.7095        1.071
  208       12.16      0.3602      0.7197         1.08
  209       12.45      0.3588      0.7293        1.088
  210       12.74      0.3574      0.7383        1.096
  211       13.03       0.356      0.7467        1.103
  212       13.34      0.3547      0.7545        1.109
  213       13.65      0.3533      0.7618        1.115
  214       13.96      0.3565      0.7685        1.125
  215       14.29      0.3607      0.7779        1.139
  216       14.62      0.3649      0.7879        1.153
  217       14.96      0.3691      0.7981        1.167
  218       15.31      0.3733      0.8064         1.18
  219       15.67      0.3775      0.8146        1.192
  220       16.03      0.3817      0.8231        1.205
  221       16.41      0.3859      0.8332        1.219
  222       16.79      0.3901      0.8435        1.234
  223       17.18      0.3943      0.8522        1.247
